artista,biografia
Christopher Cerrone,"From the bio on his website:

""CHRISTOPHER CERRONE (b. 1984) is internationally acclaimed for compositions characterized by a subtle handling of timbre and resonance, a deep literary fluency, and a flair for multimedia collaborations. Balancing lushness and austerity, immersive textures and telling details, dramatic impact and interiority, Cerrone’s GRAMMY-nominated music is utterly compelling and uniquely his own.

In the 2019–20 season, Cerrone composes a new piano concerto <a href=""https://www.last.fm/music/Christopher+Cerrone"">Read more on Last.fm</a>"
Sebastian Morawietz,"Sebastian Morawietz is a composer based in Berlin, Germany. He writes in the Dramatic, Electronic and Corporate genres, among others. His work has been featured in numerous films, corporate infomercials, and TV/Radio productions around the globe. <a href=""https://www.last.fm/music/Sebastian+Morawietz"">Read more on Last.fm</a>"
Ruperto Chapí,"Ruperto Chapí y Lorente (27 March 1851 - 25 March 1909) was a Spanish composer, and co-founder of the Sociedad General de Autores y Editores.
Chapí was born at Villena, the son of a Valencian barber. He trained in his home town and Madrid. He wrote a large number of symphonic, band, choral and chamber works, as well as zarzuelas and operas, becoming, alongside Tomás Bretón, a fellow pupil of Emilio Arrieta at the Madrid Conservatory. He was one of the most popular and important composers of his time. <a href=""https://www.last.fm/music/+noredirect/Ruperto+Chap%C3%AD"">Read more on Last.fm</a>"
Carson Cooman,"Carson Cooman (b. 1982; Rochester, New York) is an American composer with a catalog of hundreds of works in many forms—from solo instrumental pieces to operas, and from orchestral works to hymn tunes. 

His music has been performed on all six inhabited continents in venues that range from the stage of Carnegie Hall to the basket of a hot air balloon. Cooman’s music appears on over forty recordings, including more than twenty complete CDs on the Naxos <a href=""https://www.last.fm/music/Carson+Cooman"">Read more on Last.fm</a>"
David Matthews,"1) American jazz producer, arranger, conductor, pianist, keyboardist. Has been on the jazz scene, producing for such artists as James Brown and George Benson as well as appearing in many credits for CTI Records in Japan and the United States since the 1970's. 

Claims to fame later became known well to his appearance are a fisherman's cap, a somewhat unkempt moustache/beard and aviator-frame eyeglasses.

2) David Matthews (born 9 March 1943) is an English composer of mainly orchestral, chamber, vocal and piano works. <a href=""https://www.last.fm/music/David+Matthews"">Read more on Last.fm</a>"
Exam Study Music Company," <a href=""https://www.last.fm/music/Exam+Study+Music+Company"">Read more on Last.fm</a>"
Marin Marais,"Marin Marais (31 May 1656 – 15 August 1728) was a French composer and viol player. He studied composition with Jean-Baptiste Lully and occasionally conducted Lully’s operas. He also studied for six months with Monsieur de Sainte-Colombe, a noted bass viol player. In 1676, Marais joined the royal court of Versailles as a musician and in 1679 was appointed ordinaire de la chambre du roy pour la viole, a position he held until 1725.

He was the father of composer Roland Marais (c. 1685 – c. 1750). <a href=""https://www.last.fm/music/Marin+Marais"">Read more on Last.fm</a>"
Camille Saint-Saëns,"Camille Saint-Saëns (1835-1921) was a French Romantic composer, pianist, organist, and teacher.

Born in Paris on 9th October 1835, Saint-Saëns was a child prodigy. He had lessons with Camille-Marie Stamaty and Alexandre Pierre François Boëly, going on to the Paris Conservatoire in 1848, where he was taught by Fromental Halévy .

He soon came to the notice - and earned the admiration of - such eminent composers as Charles Gounod, Gioacchino Rossini, Hector Berlioz, and Franz Liszt. <a href=""https://www.last.fm/music/+noredirect/Camille+Saint-Sa%C3%ABns"">Read more on Last.fm</a>"
Franz Schubert,"Franz Peter Schubert (31 January 1797 – 19 November 1828) was an Austrian composer of the late Classical and early Romantic eras. Despite his short life, Schubert left behind a vast oeuvre, including more than 600 secular vocal works (mainly lieder), seven complete symphonies, sacred music, operas, incidental music, and a large body of piano and chamber music. His major works include the art songs Erlkönig, Gretchen am Spinnrade, Ave Maria; the Trout Quintet, the unfinished Symphony No. <a href=""https://www.last.fm/music/Franz+Schubert"">Read more on Last.fm</a>"
Luigi Dallapiccola,"Luigi Dallapiccola (February 3, 1904 – February 19, 1975) was an Italian composer known for his lyrical twelve-tone compositions.

He was born in Pisino, Istria (current Pazin, Croatia, but part of the Austro-Hungarian Empire back then), to Italian parents.
Unlike many composers born into highly musical environments, his early musical career was irregular at best. Political disputes over his birthplace of Istria, then part of the Austrian Empire, led to instability and frequent moves. <a href=""https://www.last.fm/music/Luigi+Dallapiccola"">Read more on Last.fm</a>"
Giovanni Battista Pergolesi,"Giovanni Battista Pergolesi (January 4, 1710 – March 16, 1736) was an Italian composer, violinist and organist.

Pergolesi was born in Jesi, Italy, where he studied music under Francesco Santini there before going to Naples in 1725 where he studied under Gaetano Greco among others. He spent most of his life working in Neapolitan courts.

Pergolesi was one of the most important early composers of opera buffa (comic opera). His opera seria Il prigioner superbo contained the two act buffa intermezzo <a href=""https://www.last.fm/music/Giovanni+Battista+Pergolesi"">Read more on Last.fm</a>"
Marian Sawa,"Marian Sawa (January 12, 1937, Krasnystaw—April 27, 2005, Warsaw) was a Polish composer, organist, improviser, musicologist, and pedagogue. <a href=""https://www.last.fm/music/Marian+Sawa"">Read more on Last.fm</a>"
Dmitry Kabalevsky,"Dmitry Borisovich Kabalevsky (Russian: Дми́трий Бори́сович Кабале́вский; December 30, 1904 – February 18, 1987) was a Russian Soviet composer.

Kabalevsky is regarded as one of the great modern composers of children's music.[1] He helped to set up the Union of Soviet Composers in Moscow and remained one of its leading figures. He was also a prolific composer of piano music and chamber music, many of his piano works have been performed by the likes of Vladimir Horowitz <a href=""https://www.last.fm/music/Dmitry+Kabalevsky"">Read more on Last.fm</a>"
Friedrich Kuhlau,"Friedrich Daniel Rudolf Kuhlau (September 11, 1786 – March 12, 1832) was a German-Danish composer during the Classical and Romantic periods.

Born in Germany, after losing his right eye in a street accident at the age of seven, he studied piano in Hamburg. His father, grandfather, and uncle were military oboists. Even though Kuhlau was born to a poor family, his parents managed to pay for pianoforte lessons. In 1810, he fled to Copenhagen to avoid conscription in the Napoleonic Army <a href=""https://www.last.fm/music/Friedrich+Kuhlau"">Read more on Last.fm</a>"
Georges Bizet,"Georges Bizet (1838–1875) was a French composer and pianist of the romantic era.

Bizet was born on 25th October 1838 in Paris. He was registered with the legal name Alexandre-César-Léopold Bizet, but was baptised Georges Bizet and was always known by the latter name. A child prodigy, he entered the prestigious Paris Conservatory of Music a fortnight before his tenth birthday.

In 1857 he shared a prize offered by Jacques Offenbach for a setting of the one-act operetta Le docteur Miracle, and won the Prix de Rome. <a href=""https://www.last.fm/music/Georges+Bizet"">Read more on Last.fm</a>"
Brenton Broadstock," <a href=""https://www.last.fm/music/Brenton+Broadstock"">Read more on Last.fm</a>"
Mieczysław Weinberg,"Mieczysław Weinberg (also Moisey Vainberg, Moisey Samuilovich Vaynberg; Russian Моисей Самуилович Вайнберг; Polish Mieczysław Wajnberg) (December 8, 1919 in Warsaw – February 26, 1996 in Moscow) was an important Soviet composer of Polish-Jewish origin. He lived in the Soviet Union and Russia since 1939 and lost most of his family in the Holocaust.

He left a large body of work that included twenty-two symphonies and seventeen string quartets; according to one reviewer he ranked as <a href=""https://www.last.fm/music/Mieczys%C5%82aw+Weinberg"">Read more on Last.fm</a>"
Garreth Broke,"Garreth Broke (Garreth Brooke) is a British born composer, pianist, teacher and curator of the contemporary sheet music project Upright, based in in Frankfurt am Main, Germany. He studied music at the University of Oxford, earning an MA. <a href=""https://www.last.fm/music/Garreth+Broke"">Read more on Last.fm</a>"
Selim Palmgren,"Selim Palmgren (1878–1951) was a Finnish composer, pianist, and conductor. Palmgren studied with Ferruccio Busoni, and in 1921 came to the United States, where he taught composition at the Eastman School of Music, later returning to Finland. Most of his works were for piano, and his smaller lyric pieces are his most noteworthy for the use of Scandinavian folk elements. His hometown Pori has a Palmgren conservatory named by him.

Palmgren's larger oeuvre includes 5 piano concertos (No.2 ""The River"") and opera Daniel Hjort
 <a href=""https://www.last.fm/music/Selim+Palmgren"">Read more on Last.fm</a>"
Tomás Marco,"Tomás Marco Aragón (born 12 September 1942 in Madrid) is a Spanish composer and writer on music.

Marco studied violin and composition in Madrid while at the same time pursuing the study of law (he received his licenciate in law in 1963). He turned to composition in 1958, and in 1962 began attending the Darmstädter Internationale Ferienkurse, where he furthered his studies with Bruno Maderna, Pierre Boulez, Karlheinz Stockhausen, György Ligeti, Gottfried Michael Koenig, and Theodor W. <a href=""https://www.last.fm/music/Tom%C3%A1s+Marco"">Read more on Last.fm</a>"
Mily Balakirev,"Mily Balakirev, in full Mily Alekseyevich Balakirev, (born December 21, 1836 [January 2, 1837, New Style], Nizhny Novgorod, Russia—died May 16 [May 29], 1910, St. Petersburg), Russian composer of orchestral music, piano music, and songs. He was a dynamic leader of the Russian nationalist group of composers of his era.

Balakirev received his early musical education from his mother. He also studied with Alexander Dubuque and with Karl Eisrich, music director to A. <a href=""https://www.last.fm/music/Mily+Balakirev"">Read more on Last.fm</a>"
Daan Janssens," <a href=""https://www.last.fm/music/Daan+Janssens"">Read more on Last.fm</a>"
Mikhail Glinka,"Mikhail Ivanovich Glinka (Russian: Михаил Иванович Глинка, Mikhaíl Ivánovich Glínka) (June 1 [O.S. May 20] 1804 – February 15 [O.S. February 3] 1857), was the first Russian composer to gain wide recognition inside his own country, and is often regarded as the father of Russian classical music. Glinka's compositions were an important influence on future Russian composers, notably the members of The Five, who took Glinka's lead and produced a distinctively Russian kind of classical music. <a href=""https://www.last.fm/music/+noredirect/Mikhail+Glinka"">Read more on Last.fm</a>"
Ann Millikan,"Ann Millikan's music has been described as ""tonally challenging yet emotionally involving"" (Joseph Woodard, LA Times), ""packed with propellant polyrhythmic textures"" (New Sounds, WNYC), and ""characterized by high energy and a quirky inventiveness that defies easy categorization...Her scoring is clean and transparent and her felicities of orchestration are among the most attractive elements in her work."" (Stephen Eddins, All Music).

Millikan composes concert music for orchestra <a href=""https://www.last.fm/music/Ann+Millikan"">Read more on Last.fm</a>"
Lennox Berkeley,"Sir Lennox Randal Francis Berkeley (May 12, 1903 – December 26, 1989) was an English composer.

He was born in Oxford, England, and educated at the Dragon School, Gresham's School and Merton College, Oxford. He studied in Paris with Nadia Boulanger, and there became friendly with Les Six. He enjoyed a long association with Benjamin Britten, another old boy of Gresham's School, with whom he collaborated on a number of works. 

In later years, his adoption of serialism marked a darker and more brooding style. <a href=""https://www.last.fm/music/Lennox+Berkeley"">Read more on Last.fm</a>"
York Bowen,"Edwin York Bowen (February 22, 1884 – November 11, 1961) was an English composer and pianist. Bowen’s musical career spanned more than fifty years during which time he wrote over 160 works. As well as being a pianist and composer, Bowen was a talented conductor, organist, violinist and horn player. Despite achieving considerable success during his lifetime, many of the composer’s works remained unpublished and unperformed until after his death in 1961. <a href=""https://www.last.fm/music/York+Bowen"">Read more on Last.fm</a>"
Franco Margola," <a href=""https://www.last.fm/music/Franco+Margola"">Read more on Last.fm</a>"
Michael Nyman,"Michael Nyman (born March 23, 1944) is a British minimalist composer, pianist, librettist and musicologist, perhaps best known for the many scores he wrote during his lengthy collaboration with the British filmmaker Peter Greenaway.

Nyman, who had studied with the noted Baroque music scholar Thurston Dart at King's College London, drew frequently on early music sources in his scores for Greenaway's films: Henry Purcell in The Draughtsman's Contract and The Cook <a href=""https://www.last.fm/music/Michael+Nyman"">Read more on Last.fm</a>"
Luigi Cherubini,"Luigi Cherubini (1760–1842) was an Italian composer who spent most of his working life in France. Although his music is not well known today, it was greatly admired in his time. Beethoven regarded him as the greatest of his contemporaries.

Cherubini was born Maria Luigi Carlo Zenobio Salvatore Cherubini on 14th September 1760 in Florence. His instruction in music began at the age of six with his father, himself a musician. By the age of thirteen he had composed several religious works. <a href=""https://www.last.fm/music/Luigi+Cherubini"">Read more on Last.fm</a>"
Edward Elgar,"Sir Edward William Elgar, 1st Baronet, OM, GCVO (2 June 1857 – 23 February 1934) was an English composer. Several of his first major orchestral works, including the Enigma Variations and the Pomp and Circumstance Marches, were greeted with acclaim. He also composed oratorios, chamber music, symphonies, instrumental concertos, and songs. He was appointed Master of the King's Music in 1924. <a href=""https://www.last.fm/music/+noredirect/Edward+Elgar"">Read more on Last.fm</a>"
Francisco Mignone,"Francisco Paulo Mignone (September 3, 1897–February 2, 1986) is one of the most significant figures in Brazilian classical music, and one of the most significant Brazilian composers after Heitor Villa-Lobos. In 1968 he was chosen as Brazilian composer of the year.

A graduate of the São Paulo Conservatory and then of the Milan Conservatory, Mignone returned to São Paulo in 1929 to teach harmony, and in 1933 took a post in Rio de Janeiro at the Escola Nacional de Música. <a href=""https://www.last.fm/music/Francisco+Mignone"">Read more on Last.fm</a>"
Scott Joplin,"Scott Joplin (born between June 1867 and January 1868, died April 1, 1917) was an American musician and composer of ragtime music. He remains the best-known ragtime figure and is regarded as one of the three most important composers of classic ragtime, along with James Scott and Joseph Lamb.

Scott Joplin, the second of six children, was born in eastern Texas, near Linden, to Florence Givins and Giles or Jiles Joplin. For many years, his birthdate was thought to be November 24 <a href=""https://www.last.fm/music/Scott+Joplin"">Read more on Last.fm</a>"
Frank Martin,"Frank Martin (15 September 1890 – 21 November 1974) was a Swiss composer, who lived a large part of his life in the Netherlands.

He was born in Geneva, the tenth and last child of Charles Martin, a pastor. Before he started school, he was already playing the piano and improvising. At nine, he was composing complete, fully formed songs, without having had any instruction in song forms or harmony. A performance of Bach's St. Matthew Passion which he heard at the age of twelve left upon him an ineradicable impression <a href=""https://www.last.fm/music/Frank+Martin"">Read more on Last.fm</a>"
Anton Bruckner,"Joseph Anton Bruckner (4 September 1824 – 11 October 1896) was an Austrian composer and organist known primarily for his symphonies and sacred music, which includes Masses, Te Deum, and motets. His symphonies are regarded as representative of the later period of Austro-German Romanticism, noted for their rich harmonic language, complex polyphony, and extended length. Bruckner's compositions contributed to the development of contemporary musical styles through their use of dissonance, unexpected modulations, and shifting harmonies. <a href=""https://www.last.fm/music/Anton+Bruckner"">Read more on Last.fm</a>"
Guy Bovet,"Guy Bovet (born 22 May 1942 in Thun) is a Swiss organist and composer.
Bovet studied under Marie Dufour in Lausanne, Pierre Segond in Geneva and Marie-Claire Alain in Paris. From 1979 to 1999 he taught Spanish organ music at the University of Salamanca, and since 1989 he has been Professor of Organ at the Musikhochschule in Basel, Switzerland. He has also been a visiting professor or taught masterclasses at numerous conservatories and institutions in Europe and North America <a href=""https://www.last.fm/music/Guy+Bovet"">Read more on Last.fm</a>"
Duke Ellington,"Duke Ellington (Edward Kennedy Ellington, April 29, 1899  - May 24, 1974) was an American jazz composer, pianist and bandleader, one of the most influential figures in jazz, if not in all American music.
Duke Ellington composed over 3000 songs, including: ""It Don't Mean A Thing If It Ain't Got That Swing"", ""Sophisticated Lady"", ""Mood Indigo"", “Solitude"", ""In a Mellotone"", and ""Satin Doll"". 
Through the ranks of Duke Ellington & His Orchestra passed some of the biggest names in jazz <a href=""https://www.last.fm/music/Duke+Ellington"">Read more on Last.fm</a>"
Alan Weiss,"Alan Weiss was born in New York City. Hailed as “one of the outstanding pianists of his generation” by legendary Czech pianist Rudolf Firkušný, he is “a poet” in the words of Brussels' Le Soir, whose playing, as was noted by The Daily Telegraph of London, “penetrates to the very core of the music”. “[He projected] a sense of line resembling in many respects the orchestral wizardry of Furtwängler”, wrote Spectator Online. Mr. Weiss is indeed a throwback to an earlier age of free-thinking performing musicians. <a href=""https://www.last.fm/music/Alan+Weiss"">Read more on Last.fm</a>"
Alcatrazz,"Alcatrazz was a heavy metal band formed in 1983 in Los Angeles by Graham Bonnet.

The band's initial line-up consited of Graham Bonnet (vocals - ex-Rainbow / Michael Schenker Group), Yngwie Malmsteen (guitar - ex-Steeler), Gary Shea (bass - ex-New England), Jimmy Waldo (keyboards - also ex-New England) and  Clive Burr of Iron Maiden fame. Burr was reportedly only in the band for a week, and left upon discovering the band was going to be based in the United States, as opposed to his native England. <a href=""https://www.last.fm/music/Alcatrazz"">Read more on Last.fm</a>"
Carl Friedrich Abel,"Carl Friedrich Abel (1723–1787) was a German composer. He was a fine player on the viola da gamba, and composed important music for that instrument.

Abel was born on 22nd December 1723  in Cöthen, the son of Christian Ferdinand Abel, the principal viola da gamba and cello player in the court orchestra of Johann Sebastian Bach. On Bach's recommendation, in 1748 he was able to join Johann Adolph Hasse's court orchestra at Dresden where he remained for ten years. <a href=""https://www.last.fm/music/Carl+Friedrich+Abel"">Read more on Last.fm</a>"
T. Brinda,"T Brinda (1912-1996) and her sister T Mukta for four decades sang impeccably elegant, moving concerts of Carnatic music for decades accompanied by their sister, T Abhiramasundari. The intimacy of two voices and a violin performing in perfect alignment was extraordinary. Brinda's voice excelled when she sang in the lower octave, while would sing an octave higher, to great effect.

Carnatic music is South India's classical music, and the family into which Brinda and her sisters were born is a major source of the best of this music. <a href=""https://www.last.fm/music/T.+Brinda"">Read more on Last.fm</a>"
Hubert Parry,"Sir Charles Hubert Hastings Parry (February 27, 1848 – October 7, 1918) was an English composer, probably best known for his setting of William Blake's poem, Jerusalem, the coronation anthem I was glad and the hymn tune Repton set to Dear Lord and Father of Mankind.

Born in Bournemouth, Hampshire, and brought up at Highnam Court, Gloucestershire, he was the son of an amateur artist, and was educated at Eton and Exeter College, Oxford. He studied with the English-born composer Henry Hugo Pierson in Stuttgart <a href=""https://www.last.fm/music/Hubert+Parry"">Read more on Last.fm</a>"
Vicente Martín Y Soler,"Vicente Martín y Soler o Vicent Martín i Soler (Valencia, 2 de mayo de 1754 – San Petersburgo, 30 de enero de 1806), de nombre completo Atanasio Martín Ignacio Vicente Tadeo Francisco Pellegrin Martín y Soler, fue un compositor principalmente de óperas y ballets, de origen español y de reconocido prestigio internacional. Trabajó en Italia, donde era conocido como (Vincenzo) Martini il Valenziano, en Austria, como Ignaz Martini, y en el último tercio de su vida en el Imperio ruso. <a href=""https://www.last.fm/music/+noredirect/Vicente+Mart%C3%ADn+y+Soler"">Read more on Last.fm</a>"
Vissarion Shebalin,"Vissarion Yakovlevich Shebalin (Russian: Виссарион Яковлевич Шебалин, 11th June 1902, Omsk–29th May 1963) was a Russian composer.

His parents were school teachers. He studied in the musical college in Omsk. He was 20 years old when following the advice of his professor went to Moscow to show his first compositions to Glière and Myaskovsky. Both famous composers thought very highly of his compositions. Shebalin graduated from Moscow Conservatory in 1928. <a href=""https://www.last.fm/music/Vissarion+Shebalin"">Read more on Last.fm</a>"
Bekah Simms,"Bekah Simms is a Toronto-based composer originally from St. John’s, Newfoundland. Her varied output has been heralded as “nuanced and complex” (NOW Magazine) and “redefining classical music” (Ludwig Van). Propelled equally by fascination and terror toward the universe, her work is often filtered through the personal lens of her anxiety. Foremost among her current compositional interests is quotation and the friction between recognizability and complete obfuscation. <a href=""https://www.last.fm/music/Bekah+Simms"">Read more on Last.fm</a>"
Michael Oesterle," <a href=""https://www.last.fm/music/Michael+Oesterle"">Read more on Last.fm</a>"
Carl Nielsen,"Carl August Nielsen (9th June 1865–3rd October 1931) was a conductor, violinist, and the most internationally known composer from Denmark. He is especially admired for his six symphonies.

Nielsen was born one of twelve children in Sortelung, not far from the city of Odense. His father was a housepainter and amateur musician. Carl first discovered music by experimenting with the different sounds and pitches he heard when striking the logs in a pile of firewood behind his home. <a href=""https://www.last.fm/music/Carl+Nielsen"">Read more on Last.fm</a>"
Classical Music Orchestra!," <a href=""https://www.last.fm/music/Classical+Music+Orchestra%21"">Read more on Last.fm</a>"
Erich Wolfgang Korngold,"Erich Wolfgang Korngold (1897-1957) was a composer of operas, songs, orchestral works, and film scores.

Korngold was born on 29th May 1897  in a Jewish home in Brünn (Brno), Austria–Hungary, now the Czech Republic. He was the second son of the eminent music critic Julius Korngold. A child prodigy, Erich played his cantata Gold to Gustav Mahler in 1906; Mahler called him a ""musical genius"", and recommended study with the composer Alexander von Zemlinsky. <a href=""https://www.last.fm/music/Erich+Wolfgang+Korngold"">Read more on Last.fm</a>"
Miriam Hyde,"Miriam Hyde was an Australian composer (1913-2005). She attended the Elder Conservatorium before travelling to London and the Royal Academy of Music. <a href=""https://www.last.fm/music/Miriam+Hyde"">Read more on Last.fm</a>"
John Corigliano,"John Corigliano is an American composer of classical music. The son of a violinist, studied at Columbia University, before embarking on a varied musical career.  As a composer, his earlier works develop further the musical language of composers such as Samuel Barber, Aaron Copland and their contemporaries, followed by a period of wider experiment in the use of more varied musical materials.  His opera The Ghosts of Versailles was staged at the Metropolitan Opera in New York in 1992 <a href=""https://www.last.fm/music/John+Corigliano"">Read more on Last.fm</a>"
Berglind María Tómasdóttir," <a href=""https://www.last.fm/music/Berglind+Mar%C3%ADa+T%C3%B3masd%C3%B3ttir"">Read more on Last.fm</a>"
Daniel Ligorio," <a href=""https://www.last.fm/music/Daniel+Ligorio"">Read more on Last.fm</a>"
Kurt Atterberg,"Kurt Magnus Atterberg (December 12, 1887 – February 15, 1974) was a Swedish composer. He is best known for his symphonies, operas and ballets.

Atterberg was born in Gothenburg, Sweden. He studied cello and would later on in life occasionally play the cello in orchestras. He published his first work, a Rhapsody for Piano and Orchestra, opus 1, in 1908. In 1910 he sent the Rhapsody and an incomplete version of the Symphony No. 1 in B minor, soon published as opus 3, to the Stockholm Conservatory for admission. <a href=""https://www.last.fm/music/Kurt+Atterberg"">Read more on Last.fm</a>"
Karl-Erik Welin," <a href=""https://www.last.fm/music/Karl-Erik+Welin"">Read more on Last.fm</a>"
Dionisio Aguado,"Dionisio Aguado (April 8, 1784 — December 29, 1849) was a Spanish classical guitarist and composer. Born in Madrid, he studied with Miguel Garcia. In 1825, Aguado visited Paris, where he met and became friends with, and for a while lived with, Fernando Sor. Sor's duo ""Les Deux Amis"" (""The Two Friends"") commemorated the friendship: one part is marked ""Sor"" and the other ""Aguado.""

Aguado's major work Escuela de Guitarra was a guitar tutor published in 1825. <a href=""https://www.last.fm/music/Dionisio+Aguado"">Read more on Last.fm</a>"
Max Bruch,"Max Bruch (6 January 1838 – 2 October 1920) was a German Romantic composer, violinist, teacher, and conductor who composed over 200 works, including three violin concertos. Born in Cologne to a singer mother and an attorney father, he showed musical talent from a young age and was trained by Ferdinand Hiller and others. He held various musical positions in Germany and served as conductor of the Liverpool Philharmonic Society from 1880 to 1883. Bruch taught composition at the Berlin Hochschule für Musik until his retirement in 1910. <a href=""https://www.last.fm/music/Max+Bruch"">Read more on Last.fm</a>"
Alfred Cortot,"Alfred Denis Cortot (Nyon, Switzerland, September 26, 1877 – Lausanne, Switzerland, June 15, 1962) was a Swiss pianist and conductor. He is renowned for his poetic and deeply melancholic interpretation of Romantic period piano works, particularly those of Chopin and Schumann.

Born in Nyon in the French-speaking part of Switzerland, Cortot studied at the Paris Conservatoire with Emile Descombes (reputedly a pupil of Chopin) (as did Maurice Ravel), and with Louis Diémer, taking a premier prix in 1896. <a href=""https://www.last.fm/music/Alfred+Cortot"">Read more on Last.fm</a>"
Astor Piazzolla,"Astor Piazzolla (March 11, 1921 – July 4, 1992) was an Argentine tango composer and bandoneón player. His oeuvre revolutionized the traditional tango into a new style termed nuevo tango, incorporating elements from jazz and classical music. An excellent bandoneonist, he regularly performed his own compositions with different ensembles. He is known in his native land as ""El Gran Astor"" (""The Great Astor"").

Ástor Pantaleón Piazzolla was born in Mar del Plata <a href=""https://www.last.fm/music/Astor+Piazzolla"">Read more on Last.fm</a>"
Lori Laitman," <a href=""https://www.last.fm/music/Lori+Laitman"">Read more on Last.fm</a>"
Michael Torke,"American composer Michael Torke (born September 22, 1961 in Milwaukee, Wisconsin), graduated from Wauwatosa East High School, studied at the Eastman School of Music with Joseph Schwantner and Christopher Rouse, and at Yale University, and writes music influenced by jazz and minimalism. Sometimes described as a post-minimalist, his most postminimal piece is Four Proverbs, in which the syllable for each pitch is fixed and variations in the melody produce streams of nonsense words. <a href=""https://www.last.fm/music/Michael+Torke"">Read more on Last.fm</a>"
Michael Haydn,"Michael Haydn (1737-1806) was an Austrian composer of the classical period.

Haydn was born on 14th September 1737 in the Austrian village of Rohrau near the Hungarian border. Michael Haydn, like his brother Joseph, was a chorister at St Stephen's in Vienna. Shortly after leaving the choir-school, he was appointed Kapellmeister at Großwardein and later, in 1762, at Salzburg. The latter office he held for forty-three years, during which time he wrote over 360 compositions for the church and much instrumental music. <a href=""https://www.last.fm/music/Michael+Haydn"">Read more on Last.fm</a>"
