artista,biografia
Coffee House Jazz Club," <a href=""https://www.last.fm/music/Coffee+House+Jazz+Club"">Read more on Last.fm</a>"
Dale Burbeck," <a href=""https://www.last.fm/music/Dale+Burbeck"">Read more on Last.fm</a>"
Rob Burke," <a href=""https://www.last.fm/music/Rob+Burke"">Read more on Last.fm</a>"
Luigi Vitale," <a href=""https://www.last.fm/music/Luigi+Vitale"">Read more on Last.fm</a>"
Beny Moré,"Beny Moré (sometimes Benny Moré, Benny More or Beny More) (August 24, 1919 – February 19, 1963) is considered by many fans of Cuban music as the greatest Cuban singer of all time.
He was gifted with an innate musicality and fluid tenor voice which he colored and phrased with great expressivity. Moré was a master of all the genres of Cuban music, including son montuno, mambo, guaracha, guajira, cha cha cha, afro, canción, guaguancó, and bolero. <a href=""https://www.last.fm/music/+noredirect/Beny+Mor%C3%A9"">Read more on Last.fm</a>"
Tubby Hayes,"Edward Brian ""Tubby"" Hayes (30th January 1935–8th June 1973) was a British jazz multi-instrumentalist, best known for his tenor saxophone playing in groups with Ronnie Scott and with trumpeter Jimmy Deuchar.

Hayes was born and brought up in Raynes Park, London. His father was a BBC studio violinist, and gave him violin lessons from an early age. Hayes showed talent from the beginning; by the age of ten he was playing the piano, and while he was still eleven he started on the tenor sax. <a href=""https://www.last.fm/music/Tubby+Hayes"">Read more on Last.fm</a>"
Kendraka,"Math rock / Indo-jazz act from Kolkata, India. <a href=""https://www.last.fm/music/Kendraka"">Read more on Last.fm</a>"
King Curtis,"Curtis Ousley (February 7, 1934 – August 13, 1971), who performed under the stage name King Curtis, was an American saxophone virtuoso known for rhythm and blues, rock and roll, soul, blues, funk and soul jazz. Variously a bandleader, band member, and session musician, he was also a musical director and record producer. Adept at tenor, alto, and soprano saxophone, he was best known for his distinctive riffs and solos such as on The Coasters - Yakety Yak <a href=""https://www.last.fm/music/King+Curtis"">Read more on Last.fm</a>"
Joel Lyssarides,"Multi-award winning jazzpianist, composer and arranger. <a href=""https://www.last.fm/music/Joel+Lyssarides"">Read more on Last.fm</a>"
Lemongrass,"Lemongrass is an enrichment for several human senses. Our tongue and nose get stimulated by the fresh citrus flavor of the plant and our ears receive well-being treatments by Roland Voss‘s “Lemongrass” project. Founded in 1996 at times when the world of Lounge & Chillout was an undiscovered open field of creativity, which turned out to be the perfect playground for the manifold musical interest of Roland Voss. Even today you never can be sure what you will get when a new Lemongrass release is out. <a href=""https://www.last.fm/music/Lemongrass"">Read more on Last.fm</a>"
Urbie Green,"Urban Clifford ""Urbie"" Green (August 8, 1926 – December 31, 2018) was an American jazz trombonist who toured with Woody Herman, Gene Krupa, Jan Savitt, and Frankie Carle.

He played on over 250 recordings and released more than two dozen albums as a soloist, and was highly respected by his fellow trombonists. Green's trombone sound was especially noted for its warm, mellow tone, even in the higher registers where he was more fluent than most trombonists. <a href=""https://www.last.fm/music/Urbie+Green"">Read more on Last.fm</a>"
Miriam Makeba,"Zenzile Miriam Makeba (1932-2008), also known as Mama Africa, was beyond dispute one of South Africa's true legends. Born March 4, 1932 in Johannesburg, Miriam Makeba was barely 21 years old when she, as a member of   the Manhattan Brothers, reached for the stars in her home country. It didn't take long before Miriam Makeba's career was brought to another level. In 1966 she received a Grammy Award for the album  An Evening with Harry Belafonte & Miriam Makeba, making her the first African artist to win a Grammy. <a href=""https://www.last.fm/music/Miriam+Makeba"">Read more on Last.fm</a>"
Billy Eckstine,"Billy Eckstine (8 July 1914 – 8 March 1993), born in Pittsburgh, Pennsylvania, USA as William Clarence Eckstein. He changed the spelling to Eckstine after a club owner said the original spelling was ""too Jewish"".

Eckstine was an American jazz singer and bandleader who also played trumpet, valve trombone, and guitar. He also performed briefly as Billy X. Stine. His nickname was Mr. B. Although best known as a singer, his openness to new music made him a strong influence on modern jazz <a href=""https://www.last.fm/music/Billy+Eckstine"">Read more on Last.fm</a>"
Limid," <a href=""https://www.last.fm/music/Limid"">Read more on Last.fm</a>"
Luca Flores,"Luca Flores (Palermo, 20 ottobre 1956 – Montevarchi, 29 marzo 1995) è stato un pianista e compositore italiano. È considerato tra i più interessanti esponenti della scena jazzistica italiana.
Nato a Palermo il 20 ottobre 1956, ultimo di 4 fratelli, nel 1959 si trasferisce con la famiglia in Mozambico. Qui inizia a suonare il pianoforte all'età di 5 anni. Rientrato in Italia nel 1966 trascorre un periodo a Roma e poi in Portogallo, per approdare a Firenze nel 1972, dove si diploma al liceo scientifico nel 1975. <a href=""https://www.last.fm/music/Luca+Flores"">Read more on Last.fm</a>"
Illinois Jacquet,"Jean-Baptiste Illinois Jacquet (October 31, 1922 - July 22, 2004) was a jazz tenor saxophonist most famous for his solo on ""Flying Home"". He is better known simply as Illinois Jacquet. Although he was a pioneer of the honking tenor sax that became a regular feature of jazz playing and a hallmark of rock and roll, he was a skilled and melodic improviser, both on up-tempo tunes and ballads. He doubled on the bassoon, one of only a few jazz musicians to use this instrument. <a href=""https://www.last.fm/music/Illinois+Jacquet"">Read more on Last.fm</a>"
Living Room,"There  are multiple artists with the name 'Living Room'.

1. A Prague band formed in 2003.
2. A Swiss singer-songwriter group formed in 2004.
3. Christoph Pepe Auer and Manu Delago project
4. The solo project of Alex Stooshinoff from Saskatchewan,Canada, focusing on the genres of indie rock, ambient and drone.
5. An indie rock band from New York. - https://livingrm.bandcamp.com/

1. Living Room is Prague band formed in 2003. Its style encompasses elements of indie, rock, pop and alternative. <a href=""https://www.last.fm/music/Living+Room"">Read more on Last.fm</a>"
Mundell Lowe,"James Mundell Lowe (April 21, 1922 – December 2, 2017) was an American jazz guitarist whose career began when he was thirteen years old. He spent many years working in radio, television, and film, and many years as a session musician. He played with Benny Goodman, Jimmy Dorsey, Tommy Dorsey, Red Norvo, Sauter-Finegan Orchestra, Billie Holiday, Lester Young, Charlie Parker, Charles Mingus, Bill Evans, Benny Carter, Miles Davis, Ella Fitzgerald, Johnny Hodges <a href=""https://www.last.fm/music/Mundell+Lowe"">Read more on Last.fm</a>"
Sarah Vaughan,"Sarah Lois Vaughan (nicknamed ""Sassy"" and ""The Divine One"") (March 27, 1924, Newark, New Jersey – April 3, 1990, Los Angeles, California) was an American jazz singer, described as ""possessor of one of the most wondrous voices of the 20th century"". Jazz critic Leonard Feather called her ""the most important singer to emerge from the bop era."" Ella Fitzgerald called her the world’s ""greatest singing talent."" When introduced in her two-part interview of 1980 on The Dick Cavett Show <a href=""https://www.last.fm/music/Sarah+Vaughan"">Read more on Last.fm</a>"
Stefan Keller," <a href=""https://www.last.fm/music/Stefan+Keller"">Read more on Last.fm</a>"
Bola Sete,"Bola Sete (born Djalma de Andrade) was a Brazilian guitarist born on July 16, 1923 in Rio de Janeiro and who died on February 14, 1987 in Greenbrae, California. Sete played jazz with Vince Guaraldi as well as with Dizzy Gillespie. His song ""Bettina"" was featured on the ""Tribe Vibes"" breakbeat compilation, as it had been sampled by the musical group A Tribe Called Quest.

Bola Sete's name means ""Seven Ball"". In Brazilian billiards, the seven ball is the only black ball on the table <a href=""https://www.last.fm/music/Bola+Sete"">Read more on Last.fm</a>"
Mongo Santamaria,"Ramón ""Mongo"" Santamaría (April 7, 1922 in Havana, Cuba – February 1, 2003) was an Afro-Cuban percussionist. He is most famous for being the composer of the jazz standard ""Afro Blue"", as performed by John Coltrane among others. His 1963 hit rendition of Herbie Hancock's ""Watermelon Man"" was inducted into the Grammy Hall of Fame in 1998. In 1950 he moved to New York where he played with Perez Prado, Tito Puente, Cal Tjader, Fania All Stars, etc. <a href=""https://www.last.fm/music/Mongo+Santamaria"">Read more on Last.fm</a>"
Dale Burbeck," <a href=""https://www.last.fm/music/Dale+Burbeck"">Read more on Last.fm</a>"
Thelonious Coltrane,"Art object based in Frankfurt. 1/2 Undagawds. 1/2 Basota Aestethics. 1/3 Russian Hip-Hop Killaz Instrumental Ensemble. 1/2 Emulator. 1/2 Mäx and Bootlegmillionär. 1/2 Der Harzer & Kanarienvogels. Theo der Loopklauer. Soundcloud Van Damm. Trane Da Smoka. The Notorious Coltrane by Ardjento. <a href=""https://www.last.fm/music/Thelonious+Coltrane"">Read more on Last.fm</a>"
Konstantin Klashtorni,"Ukrainian-born Konstantin Klashtorni HAS had an extensification musical education, include Kiev State Music College and the Royal Conservatory in The Hague, Holland, where he studied for His Masters Degree. 

After graduation, he worked with Peter Pashkov's ""Vuyko Band"" exploring styles such as hard bop, cool jazz, etc. After graduation, he Pashkov Worked with Peter's ""Band Vuyko"" exploring styles Such As hard bop, cool jazz, etc.   With this band, Konstantin took part in the ""Jazz-Rock Jamboree"" festival in Budapest, Hungary in 1991. <a href=""https://www.last.fm/music/Konstantin+Klashtorni"">Read more on Last.fm</a>"
James Butler," <a href=""https://www.last.fm/music/James+Butler"">Read more on Last.fm</a>"
